ORDER_KEY,CUST_KEY,ORDER_STATUS,TOTAL_PRICE,ORDER_DATE,ORDER_PRIORITY,CLERK,SHIP_PRIORITY
6306,1126,O,18348.49,1998-05-04,4-NOT SPECIFIED,Clerk#000000005,0
9473,2242,F,246813.52,1992-10-12,4-NOT SPECIFIED,Clerk#000000541,0
9954,1774,F,205384.69,1994-06-20,4-NOT SPECIFIED,Clerk#000000651,0
11011,1384,F,319671.38,1992-05-14,2-HIGH,Clerk#000000948,0
15878,1030,F,269870.89,1993-11-05,2-HIGH,Clerk#000000172,0
44934,574,F,55336.67,1993-04-20,1-URGENT,Clerk#000000580,0
60129,1030,F,86515.76,1994-03-24,4-NOT SPECIFIED,Clerk#000000837,0
61862,382,O,6317.82,1995-08-31,1-URGENT,Clerk#000000291,0
69410,2320,O,195316.33,1997-05-17,2-HIGH,Clerk#000000777,0
71558,2158,O,158928.80,1996-09-06,5-LOW,Clerk#000000913,0
74049,2063,O,292591.38,1998-06-19,5-LOW,Clerk#000000653,0
76065,1526,F,24272.43,1992-06-22,4-NOT SPECIFIED,Clerk#000000902,0
81541,1004,F,127995.21,1992-06-07,2-HIGH,Clerk#000000139,0
90529,1738,O,167880.20,1996-04-30,1-URGENT,Clerk#000000233,0
94307,1036,F,166734.42,1995-01-20,3-MEDIUM,Clerk#000000308,0
96835,1897,O,219198.53,1996-01-14,5-LOW,Clerk#000000895,0
100263,574,F,170629.30,1995-01-29,2-HIGH,Clerk#000000555,0
102310,382,F,229727.02,1992-09-30,1-URGENT,Clerk#000000631,0
110372,1897,O,193296.60,1997-06-08,3-MEDIUM,Clerk#000000350,0
116006,770,F,146019.84,1992-02-01,5-LOW,Clerk#000000463,0
118400,2467,F,51183.21,1995-04-14,4-NOT SPECIFIED,Clerk#000000874,0
123138,1126,O,243726.52,1998-07-10,4-NOT SPECIFIED,Clerk#000000033,0
133509,2300,F,19722.77,1993-06-23,4-NOT SPECIFIED,Clerk#000000115,0
134183,2467,F,80520.00,1993-09-01,3-MEDIUM,Clerk#000000474,0
144998,1897,O,273533.75,1996-08-29,2-HIGH,Clerk#000000463,0
147648,1913,O,48546.99,1996-05-20,1-URGENT,Clerk#000000554,0
147877,1885,O,54025.40,1995-08-13,2-HIGH,Clerk#000000551,0
160516,28,O,214385.82,1995-09-18,4-NOT SPECIFIED,Clerk#000000628,0
182054,1030,O,99685.52,1997-02-28,2-HIGH,Clerk#000000327,0
184068,1640,O,65653.17,1997-06-14,3-MEDIUM,Clerk#000000111,0
193733,2467,O,23163.67,1995-08-07,4-NOT SPECIFIED,Clerk#000000685,0
199521,1574,O,167764.38,1998-06-04,4-NOT SPECIFIED,Clerk#000000023,0
201794,2320,F,132049.29,1992-08-29,5-LOW,Clerk#000000764,0
213253,688,O,271864.47,1995-09-30,5-LOW,Clerk#000000511,0
215173,1774,F,123503.99,1992-04-23,2-HIGH,Clerk#000000397,0
217350,1897,F,122699.68,1995-02-17,1-URGENT,Clerk#000000244,0
224260,1825,F,41042.12,1994-07-27,5-LOW,Clerk#000000899,0
224800,2320,O,19120.56,1998-04-13,3-MEDIUM,Clerk#000000806,0
227813,463,F,74274.96,1993-07-19,5-LOW,Clerk#000000229,0
231076,1526,O,244633.07,1996-02-27,1-URGENT,Clerk#000000955,0
231393,1514,O,68336.41,1995-11-11,5-LOW,Clerk#000000570,0
232518,688,O,120266.02,1997-08-06,5-LOW,Clerk#000000127,0
232838,2134,O,109288.93,1998-01-02,1-URGENT,Clerk#000000008,0
234211,382,O,122422.24,1996-09-23,3-MEDIUM,Clerk#000000462,0
236256,316,F,98176.11,1992-12-26,1-URGENT,Clerk#000000884,0
240257,2063,O,285562.41,1995-08-11,2-HIGH,Clerk#000000786,0
244194,2057,O,291974.00,1998-03-23,3-MEDIUM,Clerk#000000392,0
263170,2434,F,168949.56,1992-09-02,4-NOT SPECIFIED,Clerk#000000500,0
266021,1397,F,143797.35,1994-12-12,5-LOW,Clerk#000000978,0
275364,695,F,351036.75,1994-10-13,4-NOT SPECIFIED,Clerk#000000938,0
276994,1205,F,151594.95,1994-12-08,5-LOW,Clerk#000000020,0
299810,1126,F,98579.90,1992-08-28,4-NOT SPECIFIED,Clerk#000000383,0
310276,1004,O,149284.25,1996-10-18,4-NOT SPECIFIED,Clerk#000000470,0
310944,214,O,223194.68,1997-05-21,4-NOT SPECIFIED,Clerk#000000918,0
312291,574,O,261455.72,1997-10-03,2-HIGH,Clerk#000000063,0
312449,1640,F,61604.19,1992-08-21,1-URGENT,Clerk#000000288,0
315493,382,O,261307.52,1998-01-10,5-LOW,Clerk#000000952,0
317383,2242,F,209915.81,1993-11-07,5-LOW,Clerk#000000087,0
318724,2242,F,189991.29,1992-06-28,1-URGENT,Clerk#000000439,0
333831,2200,F,347176.22,1994-05-29,5-LOW,Clerk#000000822,0
343744,1126,F,220987.09,1994-10-27,5-LOW,Clerk#000000048,0
349728,620,O,106170.19,1997-08-21,1-URGENT,Clerk#000000218,0
349735,1126,F,198746.10,1992-09-25,5-LOW,Clerk#000000996,0
362276,1129,F,242191.09,1992-06-20,5-LOW,Clerk#000000595,0
362723,1205,O,227013.37,1996-09-13,3-MEDIUM,Clerk#000000153,0
385798,2158,F,162239.67,1992-01-25,5-LOW,Clerk#000000819,0
387200,1738,O,200324.53,1997-12-19,2-HIGH,Clerk#000000058,0
390471,2471,F,282031.07,1994-11-11,3-MEDIUM,Clerk#000000311,0
395585,1126,O,142329.99,1996-11-23,2-HIGH,Clerk#000000223,0
398625,1465,O,172233.87,1998-01-08,3-MEDIUM,Clerk#000000193,0
409988,1030,O,202650.93,1997-01-31,4-NOT SPECIFIED,Clerk#000000584,0
413155,2300,O,199742.45,1998-04-05,2-HIGH,Clerk#000000773,0
418624,1738,O,290713.15,1997-05-03,3-MEDIUM,Clerk#000000667,0
423972,1030,O,256038.33,1996-10-05,1-URGENT,Clerk#000000914,0
426946,2434,F,160866.29,1992-04-19,5-LOW,Clerk#000000696,0
429574,316,F,245204.71,1994-01-05,5-LOW,Clerk#000000148,0
439907,1060,F,55590.23,1993-12-17,3-MEDIUM,Clerk#000000394,0
