emp_id,leave_type,leave_applied_date,leave_start_date,leave_end_date,leave_days,status
201,Earn Leave,2023-01-16,2023-01-24,2023-01-26,3,Approved
201,Casual Leave,2023-04-20,2023-04-26,2023-04-28,3,Approved
202,Earn Leave,2023-11-19,2023-11-28,2023-11-30,3,Approved
202,Casual Leave,2022-07-19,2022-07-24,2022-07-27,4,Approved
202,Casual Leave,2023-04-28,2023-05-03,2023-05-06,4,Approved
202,Earn Leave,2022-08-11,2022-08-16,2022-08-18,3,Approved
202,Earn Leave,2023-11-05,2023-11-13,2023-11-15,3,Approved
202,Casual Leave,2022-04-06,2022-04-15,2022-04-17,3,Approved
202,Sick Leave,2023-02-22,2023-03-01,2023-03-04,4,Rejected
203,Casual Leave,2022-08-25,2022-09-02,2022-09-05,4,Approved
203,Casual Leave,2023-07-28,2023-08-06,2023-08-09,4,Approved
204,Casual Leave,2022-03-13,2022-03-22,2022-03-24,3,Approved
204,Earn Leave,2022-11-18,2022-11-25,2022-11-26,2,Approved
204,Earn Leave,2023-08-12,2023-08-19,2023-08-20,2,Approved
204,Sick Leave,2023-04-27,2023-05-06,2023-05-07,2,Approved
204,Casual Leave,2022-06-03,2022-06-10,2022-06-12,3,Rejected
205,Casual Leave,2023-10-19,2023-10-27,2023-10-30,4,Approved
205,Casual Leave,2022-07-22,2022-07-30,2022-08-02,4,Approved
206,Earn Leave,2022-06-03,2022-06-11,2022-06-12,2,Approved
206,Earn Leave,2021-12-29,2022-01-03,2022-01-04,2,Rejected
206,Earn Leave,2022-11-01,2022-11-07,2022-11-10,4,Approved
206,Earn Leave,2023-04-26,2023-05-02,2023-05-04,3,Approved
206,Casual Leave,2021-12-19,2021-12-28,2021-12-31,4,Rejected
206,Casual Leave,2022-03-23,2022-04-01,2022-04-03,3,Rejected
206,Casual Leave,2022-06-06,2022-06-14,2022-06-17,4,Approved
206,Earn Leave,2023-02-11,2023-02-17,2023-02-19,3,Approved
207,Sick Leave,2023-06-25,2023-06-30,2023-07-02,3,Approved
208,Casual Leave,2022-06-12,2022-06-17,2022-06-20,4,Approved
208,Casual Leave,2022-05-01,2022-05-08,2022-05-11,4,Approved
208,Casual Leave,2022-08-08,2022-08-17,2022-08-18,2,Approved
209,Earn Leave,2023-09-06,2023-09-11,2023-09-13,3,Approved
210,Earn Leave,2023-10-29,2023-11-07,2023-11-08,2,Approved
210,Casual Leave,2023-09-07,2023-09-12,2023-09-13,2,Approved
210,Casual Leave,2023-10-31,2023-11-06,2023-11-07,2,Approved
210,Earn Leave,2023-11-16,2023-11-25,2023-11-28,4,Rejected
210,Earn Leave,2023-08-04,2023-08-13,2023-08-16,4,Approved
210,Casual Leave,2023-05-01,2023-05-10,2023-05-11,2,Approved
210,Casual Leave,2022-02-12,2022-02-18,2022-02-20,3,Rejected
211,Casual Leave,2023-07-07,2023-07-12,2023-07-15,4,Rejected
211,Earn Leave,2022-04-13,2022-04-19,2022-04-21,3,Approved
211,Casual Leave,2023-03-25,2023-04-02,2023-04-05,4,Approved
211,Casual Leave,2022-09-22,2022-09-29,2022-10-02,4,Approved
211,Casual Leave,2023-07-09,2023-07-18,2023-07-21,4,Approved
211,Earn Leave,2022-01-28,2022-02-05,2022-02-07,3,Approved
211,Casual Leave,2023-04-02,2023-04-08,2023-04-10,3,Approved
211,Casual Leave,2022-03-22,2022-03-28,2022-03-31,4,Approved
211,Sick Leave,2023-09-17,2023-09-25,2023-09-28,4,Approved
212,Sick Leave,2023-10-09,2023-10-18,2023-10-19,2,Approved
212,Sick Leave,2022-05-15,2022-05-24,2022-05-26,3,Rejected
212,Sick Leave,2022-12-30,2023-01-08,2023-01-11,4,Rejected
212,Sick Leave,2023-07-06,2023-07-12,2023-07-15,4,Approved
212,Sick Leave,2022-02-03,2022-02-08,2022-02-09,2,Approved
212,Earn Leave,2023-07-14,2023-07-20,2023-07-21,2,Approved
212,Casual Leave,2022-08-05,2022-08-10,2022-08-11,2,Approved
212,Casual Leave,2023-11-07,2023-11-13,2023-11-15,3,Rejected
212,Sick Leave,2023-02-08,2023-02-13,2023-02-16,4,Approved
212,Casual Leave,2022-08-08,2022-08-13,2022-08-15,3,Approved
213,Casual Leave,2022-08-14,2022-08-21,2022-08-23,3,Approved
213,Casual Leave,2023-07-26,2023-08-04,2023-08-06,3,Approved
213,Earn Leave,2022-01-13,2022-01-21,2022-01-22,2,Approved
213,Casual Leave,2023-01-26,2023-02-04,2023-02-07,4,Approved
214,Casual Leave,2022-01-21,2022-01-27,2022-01-30,4,Approved
214,Earn Leave,2022-12-07,2022-12-14,2022-12-17,4,Rejected
215,Casual Leave,2023-08-24,2023-08-31,2023-09-01,2,Approved
215,Casual Leave,2022-07-31,2022-08-05,2022-08-07,3,Approved
215,Casual Leave,2023-08-26,2023-09-01,2023-09-03,3,Approved
215,Sick Leave,2022-01-08,2022-01-15,2022-01-17,3,Approved
215,Earn Leave,2023-06-26,2023-07-01,2023-07-03,3,Approved
215,Casual Leave,2022-05-22,2022-05-30,2022-05-31,2,Approved
215,Casual Leave,2022-02-21,2022-02-27,2022-02-28,2,Approved
215,Casual Leave,2023-05-12,2023-05-17,2023-05-19,3,Approved
215,Earn Leave,2022-12-03,2022-12-12,2022-12-14,3,Approved
216,Casual Leave,2023-01-30,2023-02-07,2023-02-09,3,Approved
216,Earn Leave,2023-09-19,2023-09-28,2023-10-01,4,Approved
216,Casual Leave,2023-10-17,2023-10-25,2023-10-26,2,Approved
216,Casual Leave,2022-10-13,2022-10-18,2022-10-19,2,Approved
216,Casual Leave,2022-01-07,2022-01-16,2022-01-19,4,Approved
216,Casual Leave,2023-08-22,2023-08-28,2023-08-29,2,Approved
216,Casual Leave,2021-12-22,2021-12-28,2021-12-30,3,Approved
217,Casual Leave,2022-02-07,2022-02-13,2022-02-14,2,Approved
217,Casual Leave,2023-01-26,2023-02-02,2023-02-05,4,Approved
217,Earn Leave,2023-04-21,2023-04-27,2023-04-29,3,Approved
217,Casual Leave,2023-08-23,2023-08-30,2023-09-01,3,Approved
217,Earn Leave,2022-07-19,2022-07-28,2022-07-29,2,Rejected
217,Casual Leave,2023-06-13,2023-06-20,2023-06-21,2,Approved
217,Casual Leave,2022-04-18,2022-04-25,2022-04-28,4,Approved
217,Casual Leave,2023-10-15,2023-10-20,2023-10-23,4,Approved
217,Casual Leave,2022-03-21,2022-03-28,2022-03-31,4,Approved
218,Casual Leave,2022-09-06,2022-09-11,2022-09-14,4,Approved
218,Sick Leave,2023-03-12,2023-03-21,2023-03-22,2,Approved
218,Earn Leave,2022-10-19,2022-10-24,2022-10-26,3,Approved
218,Casual Leave,2023-03-04,2023-03-12,2023-03-14,3,Approved
218,Casual Leave,2022-05-13,2022-05-21,2022-05-24,4,Approved
218,Earn Leave,2022-11-08,2022-11-17,2022-11-20,4,Approved
218,Casual Leave,2022-08-02,2022-08-11,2022-08-12,2,Approved
219,Earn Leave,2023-08-18,2023-08-25,2023-08-27,3,Approved
220,Earn Leave,2023-11-19,2023-11-27,2023-11-28,2,Approved
220,Sick Leave,2023-01-08,2023-01-16,2023-01-17,2,Approved
220,Casual Leave,2023-05-07,2023-05-12,2023-05-14,3,Approved
220,Casual Leave,2023-08-05,2023-08-10,2023-08-13,4,Approved
220,Casual Leave,2022-04-21,2022-04-27,2022-04-30,4,Approved
220,Casual Leave,2023-03-15,2023-03-22,2023-03-23,2,Approved
221,Sick Leave,2023-06-14,2023-06-19,2023-06-22,4,Approved
221,Casual Leave,2023-11-23,2023-11-29,2023-11-30,2,Approved
221,Casual Leave,2023-01-06,2023-01-13,2023-01-14,2,Approved
221,Casual Leave,2023-02-26,2023-03-07,2023-03-08,2,Approved
221,Casual Leave,2022-08-27,2022-09-02,2022-09-04,3,Approved
221,Casual Leave,2022-08-20,2022-08-26,2022-08-27,2,Approved
221,Earn Leave,2022-11-08,2022-11-14,2022-11-15,2,Rejected
221,Casual Leave,2023-09-15,2023-09-23,2023-09-26,4,Approved
221,Casual Leave,2023-12-18,2023-12-23,2023-12-24,2,Approved
222,Earn Leave,2022-12-03,2022-12-09,2022-12-10,2,Approved
222,Casual Leave,2023-06-27,2023-07-05,2023-07-06,2,Approved
