emp_id,leave_type,leave_applied_date,leave_start_date,leave_end_date,leave_days,status
101,Earn Leave,2022-06-20,2022-06-26,2022-06-28,3,Approved
101,Sick Leave,2023-05-17,2023-05-26,2023-05-27,2,Approved
101,Earn Leave,2023-01-24,2023-02-01,2023-02-04,4,Rejected
101,Casual Leave,2023-05-22,2023-05-30,2023-05-31,2,Approved
101,Casual Leave,2023-01-05,2023-01-13,2023-01-15,3,Approved
101,Casual Leave,2023-08-19,2023-08-25,2023-08-28,4,Approved
101,Earn Leave,2023-07-25,2023-07-31,2023-08-03,4,Approved
101,Earn Leave,2023-02-01,2023-02-10,2023-02-12,3,Approved
101,Casual Leave,2023-10-17,2023-10-23,2023-10-25,3,Rejected
101,Casual Leave,2022-07-18,2022-07-26,2022-07-28,3,Approved
102,Casual Leave,2022-05-17,2022-05-26,2022-05-29,4,Approved
102,Casual Leave,2023-09-06,2023-09-13,2023-09-15,3,Approved
102,Casual Leave,2022-01-24,2022-01-31,2022-02-02,3,Approved
102,Earn Leave,2022-03-06,2022-03-13,2022-03-14,2,Approved
102,Earn Leave,2023-12-03,2023-12-12,2023-12-15,4,Approved
102,Casual Leave,2022-09-17,2022-09-25,2022-09-28,4,Approved
102,Sick Leave,2022-02-21,2022-03-02,2022-03-04,3,Approved
102,Casual Leave,2022-08-31,2022-09-06,2022-09-09,4,Approved
102,Earn Leave,2023-07-23,2023-08-01,2023-08-03,3,Approved
103,Casual Leave,2023-08-05,2023-08-13,2023-08-14,2,Approved
103,Casual Leave,2023-05-20,2023-05-29,2023-06-01,4,Approved
103,Sick Leave,2022-04-01,2022-04-09,2022-04-12,4,Approved
103,Casual Leave,2023-05-16,2023-05-23,2023-05-25,3,Approved
103,Casual Leave,2022-01-20,2022-01-27,2022-01-30,4,Approved
104,Earn Leave,2022-02-10,2022-02-17,2022-02-18,2,Rejected
104,Casual Leave,2023-06-12,2023-06-17,2023-06-18,2,Approved
104,Earn Leave,2022-12-09,2022-12-16,2022-12-17,2,Approved
104,Casual Leave,2022-06-27,2022-07-02,2022-07-04,3,Approved
104,Earn Leave,2023-03-27,2023-04-03,2023-04-04,2,Rejected
104,Earn Leave,2022-10-18,2022-10-27,2022-10-30,4,Approved
104,Casual Leave,2022-03-13,2022-03-20,2022-03-23,4,Approved
105,Casual Leave,2023-07-03,2023-07-08,2023-07-09,2,Approved
